Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
WhileNeeded,100,Integer,279024,,,,,,,,,
WhileNeeded,100,Integer,299742,,,,,,,,,
WhileNeeded,100,Integer,288007,,,,,,,,,
WhileNeeded,100,Integer,287965,,,,,,,,,
WhileNeeded,100,Integer,342664,,,,,,,,,
WhileNeeded,100,Integer,293430,,,,,,,,,
WhileNeeded,100,Integer,317831,,,,,,,,,
WhileNeeded,100,Integer,305937,,,,,,,,,
WhileNeeded,100,Integer,307162,,,,,,,,,
WhileNeeded,100,Integer,285747,,,,,,,,,
WhileNeeded,100,Integer,391891,,,,,,,,,
WhileNeeded,100,Integer,507586,,,,,,,,,
WhileNeeded,100,Integer,201772,,,,,,,,,
WhileNeeded,100,Integer,143778,,,,,,,,,
WhileNeeded,100,Integer,71928,,,,,,,,,
WhileNeeded,100,Integer,71953,,,,,,,,,
WhileNeeded,100,Integer,71986,,,,,,,,,
WhileNeeded,100,Integer,73369,,,,,,,,,
WhileNeeded,100,Integer,72804,,,,,,,,,
WhileNeeded,100,Integer,80205,,,,,,,,,
WhileNeeded,100,Integer,80023,,,,,,,,,
WhileNeeded,100,Integer,74298,,,,,,,,,
WhileNeeded,100,Integer,68653,,,,,,,,,
WhileNeeded,100,Integer,86968,,,,,,,,,
WhileNeeded,100,Integer,79003,,,,,,,,,
WhileNeeded,100,Integer,72714,,,,,,,,,
WhileNeeded,100,Integer,71200,,,,,,,,,
WhileNeeded,100,Integer,96369,,,,,,,,,
WhileNeeded,100,Integer,74626,,,,,,,,,
WhileNeeded,100,Integer,74288,,,,,,,,,
WhileNeeded,100,Integer,74048,,,,,,,,,
WhileNeeded,100,Integer,74139,,,,,,,,,
WhileNeeded,100,Integer,72709,,,,,,,,,
WhileNeeded,100,Integer,72511,,,,,,,,,
WhileNeeded,100,Integer,80206,,,,,,,,,
WhileNeeded,100,Integer,70487,,,,,,,,,
WhileNeeded,100,Integer,74779,,,,,,,,,
WhileNeeded,100,Integer,72160,,,,,,,,,
WhileNeeded,100,Integer,68695,,,,,,,,,
WhileNeeded,100,Integer,67640,,,,,,,,,
WhileNeeded,100,Integer,69984,,,,,,,,,
WhileNeeded,100,Integer,69216,,,,,,,,,
WhileNeeded,100,Integer,70925,,,,,,,,,
WhileNeeded,100,Integer,72193,,,,,,,,,
WhileNeeded,100,Integer,65167,,,,,,,,,
WhileNeeded,100,Integer,69484,,,,,,,,,
WhileNeeded,100,Integer,67278,,,,,,,,,
WhileNeeded,100,Integer,68442,,,,,,,,,
WhileNeeded,100,Integer,66837,,,,,,,,,
WhileNeeded,100,Integer,70651,,,,,,,,,
WhileNeeded,100,Integer,72365,,,,,,,,,
WhileNeeded,100,Integer,72002,,,,,,,,,
WhileNeeded,100,Integer,71490,,,,,,,,,
WhileNeeded,100,Integer,101764,,,,,,,,,
WhileNeeded,100,Integer,69167,,,,,,,,,
WhileNeeded,100,Integer,66988,,,,,,,,,
WhileNeeded,100,Integer,75691,,,,,,,,,
WhileNeeded,100,Integer,73591,,,,,,,,,
WhileNeeded,100,Integer,248262,,,,,,,,,
WhileNeeded,100,Integer,76040,,,,,,,,,
WhileNeeded,100,Integer,246373,,,,,,,,,
WhileNeeded,100,Integer,75828,,,,,,,,,
WhileNeeded,100,Integer,323989,,,,,,,,,
WhileNeeded,100,Integer,110954,,,,,,,,,
WhileNeeded,100,Integer,113421,,,,,,,,,
WhileNeeded,100,Integer,113976,,,,,,,,,
WhileNeeded,100,Integer,119159,,,,,,,,,
WhileNeeded,100,Integer,107857,,,,,,,,,
WhileNeeded,100,Integer,83728,,,,,,,,,
WhileNeeded,100,Integer,70946,,,,,,,,,
WhileNeeded,100,Integer,69292,,,,,,,,,
WhileNeeded,100,Integer,69038,,,,,,,,,
WhileNeeded,100,Integer,68604,,,,,,,,,
WhileNeeded,100,Integer,76906,,,,,,,,,
WhileNeeded,100,Integer,72042,,,,,,,,,
WhileNeeded,100,Integer,120663,,,,,,,,,
WhileNeeded,100,Integer,128284,,,,,,,,,
WhileNeeded,100,Integer,72577,,,,,,,,,
WhileNeeded,100,Integer,69314,,,,,,,,,
WhileNeeded,100,Integer,67990,,,,,,,,,
WhileNeeded,100,Integer,74056,,,,,,,,,
WhileNeeded,100,Integer,70740,,,,,,,,,
WhileNeeded,100,Integer,339426,,,,,,,,,
WhileNeeded,100,Integer,314302,,,,,,,,,
WhileNeeded,100,Integer,320894,,,,,,,,,
WhileNeeded,100,Integer,321366,,,,,,,,,
WhileNeeded,100,Integer,365577,,,,,,,,,
WhileNeeded,100,Integer,329815,,,,,,,,,
WhileNeeded,100,Integer,351360,,,,,,,,,
WhileNeeded,100,Integer,472762,,,,,,,,,
WhileNeeded,100,Integer,459172,,,,,,,,,
WhileNeeded,100,Integer,410750,,,,,,,,,
WhileNeeded,100,Integer,289965,,,,,,,,,
WhileNeeded,100,Integer,315694,,,,,,,,,
WhileNeeded,100,Integer,291881,,,,,,,,,
WhileNeeded,100,Integer,311497,,,,,,,,,
WhileNeeded,100,Integer,285030,,,,,,,,,
WhileNeeded,100,Integer,296280,,,,,,,,,
WhileNeeded,100,Integer,287014,,,,,,,,,
PassPerItem,1000,Integer,9940179,,,,,,,,,
PassPerItem,1000,Integer,9660117,,,,,,,,,
PassPerItem,1000,Integer,10270862,,,,,,,,,
PassPerItem,1000,Integer,9851816,,,,,,,,,
PassPerItem,1000,Integer,9683184,,,,,,,,,
PassPerItem,1000,Integer,9737609,,,,,,,,,
PassPerItem,1000,Integer,9644571,,,,,,,,,
PassPerItem,1000,Integer,9409668,,,,,,,,,
PassPerItem,1000,Integer,9272166,,,,,,,,,
PassPerItem,1000,Integer,9338366,,,,,,,,,
PassPerItem,1000,Integer,9345239,,,,,,,,,
PassPerItem,1000,Integer,9209931,,,,,,,,,
PassPerItem,1000,Integer,9505462,,,,,,,,,
PassPerItem,1000,Integer,9186716,,,,,,,,,
PassPerItem,1000,Integer,9229366,,,,,,,,,
PassPerItem,1000,Integer,10129576,,,,,,,,,
PassPerItem,1000,Integer,9716475,,,,,,,,,
PassPerItem,1000,Integer,9653166,,,,,,,,,
PassPerItem,1000,Integer,11081426,,,,,,,,,
PassPerItem,1000,Integer,9551680,,,,,,,,,
PassPerItem,1000,Integer,9949812,,,,,,,,,
PassPerItem,1000,Integer,9716812,,,,,,,,,
PassPerItem,1000,Integer,9711733,,,,,,,,,
PassPerItem,1000,Integer,9670492,,,,,,,,,
PassPerItem,1000,Integer,9738661,,,,,,,,,
PassPerItem,1000,Integer,9646172,,,,,,,,,
