Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
UntilNoChange,100,Integer,56914,,,,,,,,,
UntilNoChange,100,Integer,57370,,,,,,,,,
UntilNoChange,100,Integer,74240,,,,,,,,,
UntilNoChange,100,Integer,81341,,,,,,,,,
UntilNoChange,100,Integer,94471,,,,,,,,,
UntilNoChange,100,Integer,95418,,,,,,,,,
UntilNoChange,100,Integer,97586,,,,,,,,,
UntilNoChange,100,Integer,83761,,,,,,,,,
UntilNoChange,100,Integer,103155,,,,,,,,,
UntilNoChange,100,Integer,67089,,,,,,,,,
UntilNoChange,100,Integer,59809,,,,,,,,,
UntilNoChange,100,Integer,56919,,,,,,,,,
UntilNoChange,100,Integer,56878,,,,,,,,,
UntilNoChange,100,Integer,56927,,,,,,,,,
UntilNoChange,100,Integer,56949,,,,,,,,,
UntilNoChange,100,Integer,56795,,,,,,,,,
UntilNoChange,100,Integer,56849,,,,,,,,,
UntilNoChange,100,Integer,57176,,,,,,,,,
UntilNoChange,100,Integer,56893,,,,,,,,,
UntilNoChange,100,Integer,57000,,,,,,,,,
UntilNoChange,100,Integer,57016,,,,,,,,,
UntilNoChange,100,Integer,56834,,,,,,,,,
UntilNoChange,100,Integer,57022,,,,,,,,,
UntilNoChange,100,Integer,57087,,,,,,,,,
UntilNoChange,100,Integer,57152,,,,,,,,,
UntilNoChange,100,Integer,57713,,,,,,,,,
UntilNoChange,100,Integer,57367,,,,,,,,,
UntilNoChange,100,Integer,56868,,,,,,,,,
UntilNoChange,100,Integer,56934,,,,,,,,,
UntilNoChange,100,Integer,57497,,,,,,,,,
UntilNoChange,100,Integer,57109,,,,,,,,,
UntilNoChange,100,Integer,57074,,,,,,,,,
UntilNoChange,100,Integer,56919,,,,,,,,,
UntilNoChange,100,Integer,56992,,,,,,,,,
UntilNoChange,100,Integer,57301,,,,,,,,,
UntilNoChange,100,Integer,57320,,,,,,,,,
UntilNoChange,100,Integer,57069,,,,,,,,,
WhileNeeded,100,Integer,46612,,,,,,,,,
WhileNeeded,100,Integer,33781,,,,,,,,,
WhileNeeded,100,Integer,33619,,,,,,,,,
WhileNeeded,100,Integer,33476,,,,,,,,,
WhileNeeded,100,Integer,33438,,,,,,,,,
WhileNeeded,100,Integer,33475,,,,,,,,,
WhileNeeded,100,Integer,33667,,,,,,,,,
WhileNeeded,100,Integer,33464,,,,,,,,,
WhileNeeded,100,Integer,33822,,,,,,,,,
WhileNeeded,100,Integer,33671,,,,,,,,,
WhileNeeded,100,Integer,35051,,,,,,,,,
WhileNeeded,100,Integer,33476,,,,,,,,,
WhileNeeded,100,Integer,48386,,,,,,,,,
WhileNeeded,100,Integer,33720,,,,,,,,,
WhileNeeded,100,Integer,33607,,,,,,,,,
WhileNeeded,100,Integer,33460,,,,,,,,,
WhileNeeded,100,Integer,33462,,,,,,,,,
WhileNeeded,100,Integer,33516,,,,,,,,,
WhileNeeded,100,Integer,33529,,,,,,,,,
WhileNeeded,100,Integer,33553,,,,,,,,,
WhileNeeded,100,Integer,33939,,,,,,,,,
WhileNeeded,100,Integer,33703,,,,,,,,,
WhileNeeded,100,Integer,33588,,,,,,,,,
WhileNeeded,100,Integer,33813,,,,,,,,,
WhileNeeded,100,Integer,33736,,,,,,,,,
WhileNeeded,100,Integer,34195,,,,,,,,,
WhileNeeded,100,Integer,33478,,,,,,,,,
WhileNeeded,100,Integer,33549,,,,,,,,,
WhileNeeded,100,Integer,33719,,,,,,,,,
WhileNeeded,100,Integer,33465,,,,,,,,,
WhileNeeded,100,Integer,33491,,,,,,,,,
WhileNeeded,100,Integer,39617,,,,,,,,,
WhileNeeded,100,Integer,52840,,,,,,,,,
WhileNeeded,100,Integer,53104,,,,,,,,,
WhileNeeded,100,Integer,33617,,,,,,,,,
WhileNeeded,100,Integer,33496,,,,,,,,,
WhileNeeded,100,Integer,33497,,,,,,,,,
WhileNeeded,100,Integer,33527,,,,,,,,,
WhileNeeded,100,Integer,33566,,,,,,,,,
WhileNeeded,100,Integer,33535,,,,,,,,,
WhileNeeded,100,Integer,33504,,,,,,,,,
WhileNeeded,100,Integer,33471,,,,,,,,,
WhileNeeded,100,Integer,33492,,,,,,,,,
WhileNeeded,100,Integer,33468,,,,,,,,,
WhileNeeded,100,Integer,33551,,,,,,,,,
WhileNeeded,100,Integer,33471,,,,,,,,,
WhileNeeded,100,Integer,33487,,,,,,,,,
WhileNeeded,100,Integer,33460,,,,,,,,,
WhileNeeded,100,Integer,33467,,,,,,,,,
WhileNeeded,100,Integer,50002,,,,,,,,,
WhileNeeded,100,Integer,33893,,,,,,,,,
WhileNeeded,100,Integer,33591,,,,,,,,,
WhileNeeded,100,Integer,33535,,,,,,,,,
WhileNeeded,100,Integer,33947,,,,,,,,,
WhileNeeded,100,Integer,34162,,,,,,,,,
WhileNeeded,100,Integer,33685,,,,,,,,,
WhileNeeded,100,Integer,45621,,,,,,,,,
WhileNeeded,100,Integer,33755,,,,,,,,,
WhileNeeded,100,Integer,33609,,,,,,,,,
WhileNeeded,100,Integer,34129,,,,,,,,,
WhileNeeded,100,Integer,33596,,,,,,,,,
WhileNeeded,100,Integer,33600,,,,,,,,,
WhileNeeded,100,Integer,33595,,,,,,,,,
WhileNeeded,100,Integer,33562,,,,,,,,,
WhileNeeded,100,Integer,33551,,,,,,,,,
WhileNeeded,100,Integer,44279,,,,,,,,,
WhileNeeded,100,Integer,57606,,,,,,,,,
WhileNeeded,100,Integer,58540,,,,,,,,,
WhileNeeded,100,Integer,69363,,,,,,,,,
WhileNeeded,100,Integer,59241,,,,,,,,,
WhileNeeded,100,Integer,46071,,,,,,,,,
WhileNeeded,100,Integer,50791,,,,,,,,,
WhileNeeded,100,Integer,33673,,,,,,,,,
WhileNeeded,100,Integer,33642,,,,,,,,,
WhileNeeded,100,Integer,33695,,,,,,,,,
WhileNeeded,100,Integer,33504,,,,,,,,,
WhileNeeded,100,Integer,33523,,,,,,,,,
WhileNeeded,100,Integer,33482,,,,,,,,,
WhileNeeded,100,Integer,33506,,,,,,,,,
WhileNeeded,100,Integer,33500,,,,,,,,,
WhileNeeded,100,Integer,33481,,,,,,,,,
WhileNeeded,100,Integer,33458,,,,,,,,,
WhileNeeded,100,Integer,33491,,,,,,,,,
WhileNeeded,100,Integer,33499,,,,,,,,,
WhileNeeded,100,Integer,33516,,,,,,,,,
WhileNeeded,100,Integer,33500,,,,,,,,,
WhileNeeded,100,Integer,33696,,,,,,,,,
WhileNeeded,100,Integer,33554,,,,,,,,,
WhileNeeded,100,Integer,33771,,,,,,,,,
WhileNeeded,100,Integer,33654,,,,,,,,,
WhileNeeded,100,Integer,33476,,,,,,,,,
WhileNeeded,100,Integer,33497,,,,,,,,,
