Algorithm,Size,Type,Time (nanoseconds)
WhileNeeded,100,Integer,67822
WhileNeeded,100,Integer,76471
WhileNeeded,100,Integer,72988
WhileNeeded,100,Integer,67697
WhileNeeded,100,Integer,83341
WhileNeeded,100,Integer,74196
WhileNeeded,100,Integer,74636
WhileNeeded,100,Integer,69461
WhileNeeded,100,Integer,70496
WhileNeeded,100,Integer,69299
WhileNeeded,100,Integer,69503
WhileNeeded,100,Integer,72536
WhileNeeded,100,Integer,75467
WhileNeeded,100,Integer,350656
WhileNeeded,100,Integer,76682
WhileNeeded,100,Integer,73042
WhileNeeded,100,Integer,72239
WhileNeeded,100,Integer,246965
WhileNeeded,100,Integer,481271
WhileNeeded,100,Integer,114044
WhileNeeded,100,Integer,654633
WhileNeeded,100,Integer,428966
WhileNeeded,100,Integer,716194
WhileNeeded,100,Integer,657248
WhileNeeded,100,Integer,770808
WhileNeeded,100,Integer,462055
WhileNeeded,100,Integer,307267
WhileNeeded,100,Integer,607459
WhileNeeded,100,Integer,694637
WhileNeeded,100,Integer,302503
WhileNeeded,100,Integer,299979
WhileNeeded,100,Integer,301762
WhileNeeded,100,Integer,376632
WhileNeeded,100,Integer,290872
WhileNeeded,100,Integer,305814
WhileNeeded,100,Integer,294779
PassPerItem,1000,Integer,10320113
PassPerItem,1000,Integer,10258009
PassPerItem,1000,Integer,10181525
PassPerItem,1000,Integer,9632347
PassPerItem,1000,Integer,9711283
PassPerItem,1000,Integer,10454630
PassPerItem,1000,Integer,9810567
PassPerItem,1000,Integer,9936901
PassPerItem,1000,Integer,10039041
PassPerItem,1000,Integer,10806843
PassPerItem,1000,Integer,9827325
PassPerItem,1000,Integer,9463043
PassPerItem,1000,Integer,9376872
PassPerItem,1000,Integer,9317068
PassPerItem,1000,Integer,9373753
PassPerItem,1000,Integer,9400901
PassPerItem,1000,Integer,9353220
PassPerItem,1000,Integer,9312937
PassPerItem,1000,Integer,9384597
PassPerItem,1000,Integer,9366509
PassPerItem,1000,Integer,9340411
PassPerItem,1000,Integer,9366199
PassPerItem,1000,Integer,9367410
PassPerItem,1000,Integer,9373078
PassPerItem,1000,Integer,9383877
PassPerItem,1000,Integer,9368475
PassPerItem,1000,Integer,9410034
PassPerItem,1000,Integer,9324233
PassPerItem,1000,Integer,9722599
PassPerItem,1000,Integer,9910421
PassPerItem,1000,Integer,10759916
PassPerItem,1000,Integer,9880275
PassPerItem,1000,Integer,9957711
PassPerItem,1000,Integer,9908402
PassPerItem,1000,Integer,9888830
PassPerItem,1000,Integer,9927554
PassPerItem,1000,Integer,9855937
PassPerItem,1000,Integer,9776757
PassPerItem,1000,Integer,9906982
PassPerItem,1000,Integer,9916019
PassPerItem,1000,Integer,9907760
PassPerItem,1000,Integer,9859355
PassPerItem,1000,Integer,9875134
PassPerItem,1000,Integer,9981305
PassPerItem,1000,Integer,9891949
PassPerItem,1000,Integer,9897179
PassPerItem,1000,Integer,9928355
PassPerItem,1000,Integer,9880178
PassPerItem,1000,Integer,10411830
PassPerItem,1000,Integer,9913198
PassPerItem,1000,Integer,9837806
PassPerItem,1000,Integer,9896581
PassPerItem,1000,Integer,9816625
PassPerItem,1000,Integer,9849080
PassPerItem,1000,Integer,9892149
PassPerItem,1000,Integer,9896297
PassPerItem,1000,Integer,9946798
PassPerItem,1000,Integer,9921683
PassPerItem,1000,Integer,9899349
PassPerItem,1000,Integer,9899489
PassPerItem,1000,Integer,9877957
PassPerItem,1000,Integer,9826208
PassPerItem,1000,Integer,9879832
PassPerItem,1000,Integer,9930464
PassPerItem,1000,Integer,9786276
PassPerItem,1000,Integer,9973111
PassPerItem,1000,Integer,9873634
PassPerItem,1000,Integer,9859066
PassPerItem,1000,Integer,9950249
PassPerItem,1000,Integer,9877373
PassPerItem,1000,Integer,10009643
PassPerItem,1000,Integer,9882201
PassPerItem,1000,Integer,9892321
PassPerItem,1000,Integer,9919364
PassPerItem,1000,Integer,9873174
PassPerItem,1000,Integer,9970168
PassPerItem,1000,Integer,9886806
PassPerItem,1000,Integer,9876251
PassPerItem,1000,Integer,9938015
PassPerItem,1000,Integer,9894810
PassPerItem,1000,Integer,9976249
PassPerItem,1000,Integer,9839633
PassPerItem,1000,Integer,9903842
PassPerItem,1000,Integer,9896491
PassPerItem,1000,Integer,9895630
PassPerItem,1000,Integer,9917563
PassPerItem,1000,Integer,9862777
PassPerItem,1000,Integer,9873083
PassPerItem,1000,Integer,9912281
PassPerItem,1000,Integer,9867659
PassPerItem,1000,Integer,9923592
PassPerItem,1000,Integer,9880852
PassPerItem,1000,Integer,9850659
PassPerItem,1000,Integer,9843742
PassPerItem,1000,Integer,9915412
PassPerItem,1000,Integer,9832265
PassPerItem,1000,Integer,9867792
PassPerItem,1000,Integer,9895369
PassPerItem,1000,Integer,10367086
PassPerItem,1000,Integer,10007795
UntileNoChange,1000,Integer,11306679
UntileNoChange,1000,Integer,11021826
UntileNoChange,1000,Integer,11329797
